"driver_id","trip_id","started_at","acc_3050_avg","acc_5090_avg","gyroscope_distance_avg","acc_highway_sq_of_diff"
29,"19613E1C-490C-425A-94F4-3FED0450010F","2021-10-23 11:46:16.0",1.14991,0.954,0.247684,0.0
29,"19C75A38-6C7E-416A-870C-DAE1ACD93AC1","2021-08-29 19:01:23.0",1.09992,0.0,0.248777,0.0
29,"19D326F1-74E4-4345-BB71-E72B25006B38","2021-01-14 17:41:21.0",1.272,0.0,0.186411,0.0
29,"19D74409-40DD-4CB7-849C-3D1545EB173E","2021-01-10 17:43:00.0",1.15709,0.671579,0.0971676,1.14936
29,"19D7AFD6-8F6C-4C47-A6B0-C49F0A2A64A5","2020-05-28 08:19:32.0",,,,
29,"1A13A3B6-2774-4D0D-B8C8-E593B4DCB461","2021-08-15 22:16:57.0",1.35385,0.972075,0.0984066,0.0
29,"1AD6D94C-F94E-423E-BD2B-85A2626FBFE2","2021-04-29 13:29:05.0",0.84,0.0,0.0549133,0.0
29,"1B00BB3B-023B-4550-9F25-A1C0A79C0AC9","2021-08-13 17:30:02.0",1.52633,1.05803,0.154377,2.80502
29,"1BC0931C-1632-4409-AFA3-0109AE629257","2020-06-06 19:08:37.0",2.08313,1.38846,0.0480532,0.0
29,"1BCF6033-87E4-4452-B73E-76AC0997B619","2021-11-17 14:25:41.0",3.26903,2.298,0.134532,0.0
29,"1BD9AD38-AB01-49A3-BF17-4C15A5492E95","2020-06-06 17:01:02.0",,,,
29,"1C3D1C1A-4D57-4B8C-AB53-7EE7A4936ED0","2021-06-19 23:20:38.0",1.44222,0.66,0.350362,0.0
29,"1C440B1F-2AAD-4B20-BE6C-5EAFDDB6431D","2021-10-05 16:21:15.0",0.998919,0.0,0.0626689,0.0
29,"1C46006C-0D41-490A-A756-3B73EEFEC142","2021-10-17 16:40:54.0",1.53277,0.99941,0.077637,0.0
29,"1CAB4241-D912-40CE-ACE5-52288B2F1E8F","2021-05-05 20:03:19.0",1.872,0.0,0.0472911,0.0
29,"1CCD838C-3324-496D-A5C3-2FEAE018407B","2020-04-30 17:19:37.0",1.70727,1.86,0.463749,
29,"1CE84B3D-E38B-4F28-B4DB-1967F1A067BF","2021-04-29 18:19:08.0",1.16,0.0,0.0884568,0.0
29,"1CEFEF03-9E6E-48DD-B557-E59F6CC2CEB2","2020-06-05 13:26:25.0",1.99059,0.0,0.0843505,0.0
29,"1D64F1AD-021E-4965-A5A0-D9484511D560","2021-11-06 13:44:08.0",1.77184,1.5025,0.0475242,0.0
29,"1D92D004-A5F4-4C21-81BC-C5AC4D72B1DF","2020-12-25 18:42:04.0",1.60848,0.833023,0.179725,0.0
29,"1DE8579D-C30C-41AC-8148-30B83D3071A6","2021-04-22 16:11:36.0",0.791547,0.788571,0.109334,0.0
29,"1E33E96B-08D9-4C46-BBDC-D18D7840E24B","2021-07-08 18:35:58.0",1.61898,1.2,0.347898,0.0
29,"1E83E1CC-E7A9-4A12-B884-7582D66EA570","2021-06-21 17:53:53.0",1.60744,1.21429,0.0746412,0.0
29,"1E8F0C74-CF2A-47F3-A2DC-98CA6890A484","2020-04-26 12:17:34.0",1.60249,1.58997,0.123539,
29,"1EC75870-6E5E-4EA6-B36F-32B2DFD1F4AE","2021-03-18 17:54:11.0",,,,
29,"1F58194B-C34F-49FA-B9A2-53D17BE871E7","2021-10-05 16:21:13.0",1.43721,0.668571,0.0525909,0.0
29,"1F678770-B1D6-4F6A-95C0-CB2006E3ED28","2021-06-21 17:45:39.0",1.49622,0.905455,0.0524584,0.0
29,"1F859A4C-EE3A-42AD-B50C-DD04B1A340DC","2021-04-13 16:15:16.0",,,,
29,"1F8E6D0C-0084-4BAE-AFAC-6997A93607B9","2021-10-31 16:40:44.0",1.67333,1.52047,0.0529368,0.0
29,"20099CC5-2CFC-4A24-99A6-A816A3732A0B","2021-09-02 19:09:05.0",0.774904,0.579661,0.0576148,0.0
29,"208963EB-D962-48AA-90C9-67BD3C6DC23B","2021-06-02 11:44:51.0",1.37607,0.948889,0.0487437,0.0
29,"2192C448-A239-47AE-96CE-B0B822A4BBE0","2021-11-05 16:28:01.0",,,,
29,"2192E1A0-0576-47D3-9CFE-03DFDC4EC74A","2021-01-11 12:38:37.0",1.332,0.36,0.146928,0.0
29,"21F4827D-A285-4B50-A636-59AB0C5AC40B","2021-07-05 16:52:24.0",,,,
29,"220DB2AD-912C-4480-8ED1-8D911DCCF3A7","2021-05-20 19:48:25.0",1.77086,2.04873,0.118719,3.96404
29,"2259931C-FEE1-4364-B955-B63ED95FB9FA","2021-08-12 18:02:54.0",,,,
29,"22663DF6-37BD-4963-A257-777B4EA270A3","2021-11-03 12:03:20.0",2.91429,1.90462,0.0962298,0.0
29,"22746F05-FA21-4710-AC72-13767A5C684D","2021-05-06 17:56:26.0",,,,
29,"2274FCC3-800A-4167-86FF-F74F08A269C2","2021-08-10 17:33:57.0",1.25538,0.48,0.341924,0.0
29,"2289941B-480B-4C7D-805C-EEF6CE460A51","2021-08-12 17:47:37.0",1.51385,0.0,0.243157,0.0
29,"230B9A38-E450-4371-BB50-DC849AE81F4E","2021-09-14 18:44:07.0",1.55509,1.09934,0.111955,0.0
29,"23240321-C9CB-454F-B255-EC9DE97C093F","2021-11-05 16:27:52.0",,,,
29,"23AC61C4-5406-432B-BE95-3381E1330228","2021-11-18 19:03:27.0",1.29143,0.54,0.0835869,0.0
29,"23BE1F68-6BAF-46AE-934D-595C25F906CB","2021-04-24 12:35:03.0",0.0,0.0,0.047687,0.0
29,"23F3D2DD-AF85-40E6-A54C-89EB5507B0C5","2021-03-02 13:49:17.0",1.59273,1.05217,0.0728595,0.0
29,"24546306-40DE-475F-997C-2D83019DAAFA","2021-09-15 18:16:25.0",,,,
29,"24A7C2F4-103D-479F-9B50-B6185FFDBAE8","2021-01-10 15:31:58.0",1.18255,0.779729,0.0848304,0.662993
29,"251C7F0F-EB67-415E-92F7-1BA4E3580CF1","2021-02-03 18:09:29.0",,,,
29,"2590CB02-098D-445E-A56F-E20F806F0428","2021-10-22 15:44:54.0",2.21311,1.65913,0.0797116,0.0
29,"2628745E-55C8-4E54-86C2-251E18C3C1E3","2021-08-14 17:44:27.0",0.7296,0.0,0.10806,0.0
29,"2670D32B-0377-4472-AB14-E1A7C396E441","2020-12-12 18:14:29.0",1.56867,1.296,0.270922,0.0
29,"26F8028E-93D8-4D0E-91FB-75E52B036E86","2021-10-27 13:19:48.0",1.87907,2.22923,0.0473977,0.0
29,"2769B247-B1A2-4AF4-88FD-D1A37FBD64E6","2020-12-21 19:15:41.0",1.33322,0.629143,0.130729,0.0
29,"27705A77-A113-4DB6-8353-8979A051600D","2021-05-19 17:06:37.0",2.00281,1.23546,0.075617,0.0
29,"2793A684-48CA-423A-8B87-FA422521D939","2021-01-21 17:04:29.0",1.68923,1.70634,0.106325,0.0
29,"27B6878E-17F4-4B46-AD04-C9BBB6641214","2021-07-28 08:17:05.0",1.76557,1.39571,0.25454,0.0
29,"27CDE5A8-D3A6-43A6-891E-D839203F2687","2020-11-14 11:30:12.0",,,,
29,"289BDE42-D332-4D55-9EAE-9573CBEF3D44","2021-10-20 16:54:18.0",,,,
29,"28A6B65F-63C5-42B5-8A48-0D6A5FE6D3A5","2021-07-15 19:50:14.0",2.09775,1.66453,0.0482494,1.54266
29,"28F80D5C-77C1-4CA3-AA76-DF4E32FFFA9F","2021-02-06 09:17:56.0",1.62316,0.726316,0.0565601,0.0
29,"2934CAC4-A680-4EB5-A89B-52E7F82978E1","2021-10-02 10:42:09.0",0.856778,0.643636,0.124774,0.0
29,"2963BD2B-F930-4BE5-B25D-227057B18879","2021-08-12 17:47:47.0",2.05778,0.897391,0.306123,0.0
29,"29DE7A4C-420B-4147-A545-1D5D2E2EAC6B","2021-07-12 10:10:28.0",1.04654,1.072,0.38457,0.0
29,"2A206E75-13CB-4138-A152-6E3402E725FA","2021-10-01 16:48:16.0",,,,
29,"2ABD70D2-FAFE-4F6C-AF69-1B925D0B0E37","2021-05-21 15:08:56.0",,,,
29,"2B18D518-6ACB-48EF-9BF7-3FCC14F902ED","2021-02-22 18:30:26.0",1.20381,0.69,0.179161,0.0
29,"2B4B6E64-DD26-4F0D-8A8D-1113EFBA972B","2021-01-30 12:02:03.0",1.36966,0.0,0.0867716,0.0
29,"2B5DECB0-9417-4FDF-8D3F-30F092C0DC2E","2021-06-27 21:04:54.0",1.55868,1.10512,0.382783,0.0
29,"2B705068-CE6C-49E8-AD87-E28C879E426A","2021-07-07 08:53:29.0",1.13,0.0,0.215258,0.0
29,"2BDDE978-68C0-447A-8E71-5FF194256ECD","2021-08-14 17:48:21.0",,,,
29,"2C0F3B40-A189-4CDA-B989-AE9667B45E5A","2021-07-28 08:17:02.0",1.44735,0.820465,0.250578,0.0
29,"2CFC9EED-FEED-4EB8-8459-B651F342C415","2021-03-08 16:33:32.0",2.0367,1.6208,0.159506,0.0
29,"2D2F1BA1-4B01-407E-B1CC-2D1BA40082DD","2021-06-02 17:17:22.0",1.30909,1.0529,0.12582,0.0
29,"2DAC6051-024A-48DB-A071-EF14E274F910","2021-05-03 20:41:43.0",1.37434,1.06,0.051798,0.887543
29,"2DBB4E61-1A36-4BF4-912C-8775565AC88F","2021-10-07 16:33:08.0",1.5,0.0,0.0744723,0.0
29,"2EBF2615-235A-4AB5-A0E9-86205B620F06","2021-02-26 17:04:16.0",,,,
29,"2ED70A64-6202-4FCC-B91C-27137CA3C4D1","2020-06-07 18:01:57.0",1.81333,0.740265,0.104266,0.0
29,"2F08ECF6-F557-40C3-934E-99AD31E178E8","2020-12-15 14:42:57.0",1.70207,1.1492,0.295377,0.0
29,"2F350C17-B12F-490A-B686-04465680367E","2020-04-25 11:54:56.0",1.284,0.0,0.171553,
29,"2F5F5EDC-872F-4167-B5C0-B0084E52050E","2021-10-21 13:31:16.0",,,,
29,"2FA47B62-5FD9-42B8-AC8D-CE2D4B6361E1","2021-11-06 13:44:06.0",2.63596,2.10947,0.0930857,0.0
29,"2FA54EB9-5CE4-4FC4-A1C5-193C652FEF9B","2021-08-05 15:31:32.0",2.49778,1.35667,0.0720283,1.04949
29,"2FDE9383-5592-44BC-B9DE-BAA303F9A5FC","2021-10-10 16:36:52.0",1.33333,1.2,0.0893061,0.0
29,"30096D4A-6207-42B6-B31E-5669014E4AEC","2021-10-23 11:46:25.0",1.92,0.0,0.0259869,0.0
29,"304BC0A7-8CEE-4AFE-81C6-8264424373A0","2021-08-25 20:47:18.0",1.88301,1.1728,0.131987,3.66263
29,"30DFCC3A-E34D-4F64-A152-615EEC1F69AE","2021-06-20 14:56:57.0",2.16609,1.14565,0.0775838,1.7037
